tech1	tech2	threshold	metric	test	p-value
AllYes	AllNo	0.3	precisions	KS	None
AllYes	AllNo	0.3	precisions	Wilcoxon	None
AllYes	AllRandom	0.3	precisions	KS	0.12587412587412586
AllYes	AllRandom	0.3	precisions	Wilcoxon	0.49609375
AllNo	AllRandom	0.3	precisions	KS	None
AllNo	AllRandom	0.3	precisions	Wilcoxon	None
AllYes	AllNo	0.3	recalls	KS	4.11353352529823e-05
AllYes	AllNo	0.3	recalls	Wilcoxon	0.00390625
AllYes	AllRandom	0.3	recalls	KS	4.11353352529823e-05
AllYes	AllRandom	0.3	recalls	Wilcoxon	0.00390625
AllNo	AllRandom	0.3	recalls	KS	4.11353352529823e-05
AllNo	AllRandom	0.3	recalls	Wilcoxon	0.00390625
AllYes	AllNo	0.3	f1s	KS	None
AllYes	AllNo	0.3	f1s	Wilcoxon	None
AllYes	AllRandom	0.3	f1s	KS	4.11353352529823e-05
AllYes	AllRandom	0.3	f1s	Wilcoxon	0.00390625
AllNo	AllRandom	0.3	f1s	KS	None
AllNo	AllRandom	0.3	f1s	Wilcoxon	None
AllYes	AllNo	-1	WMRs	KS	1.0
AllYes	AllNo	-1	WMRs	Wilcoxon	1.0
AllYes	AllRandom	-1	WMRs	KS	4.11353352529823e-05
AllYes	AllRandom	-1	WMRs	Wilcoxon	0.00390625
AllNo	AllRandom	-1	WMRs	KS	4.11353352529823e-05
AllNo	AllRandom	-1	WMRs	Wilcoxon	0.00390625
AllYes	AllNo	-1	MRR_CSs	KS	1.0
AllYes	AllNo	-1	MRR_CSs	Wilcoxon	1.0
AllYes	AllRandom	-1	MRR_CSs	KS	4.11353352529823e-05
AllYes	AllRandom	-1	MRR_CSs	Wilcoxon	0.00390625
AllNo	AllRandom	-1	MRR_CSs	KS	4.11353352529823e-05
AllNo	AllRandom	-1	MRR_CSs	Wilcoxon	0.00390625
AllYes	AllNo	-1	MAP_CSs	KS	1.0
AllYes	AllNo	-1	MAP_CSs	Wilcoxon	1.0
AllYes	AllRandom	-1	MAP_CSs	KS	4.11353352529823e-05
AllYes	AllRandom	-1	MAP_CSs	Wilcoxon	0.00390625
AllNo	AllRandom	-1	MAP_CSs	KS	4.11353352529823e-05
AllNo	AllRandom	-1	MAP_CSs	Wilcoxon	0.00390625
AllYes	AllNo	-1	MRR_CTs	KS	1.0
AllYes	AllNo	-1	MRR_CTs	Wilcoxon	1.0
AllYes	AllRandom	-1	MRR_CTs	KS	4.11353352529823e-05
AllYes	AllRandom	-1	MRR_CTs	Wilcoxon	0.00390625
AllNo	AllRandom	-1	MRR_CTs	KS	4.11353352529823e-05
AllNo	AllRandom	-1	MRR_CTs	Wilcoxon	0.00390625
AllYes	AllNo	-1	MAP_CTs	KS	1.0
AllYes	AllNo	-1	MAP_CTs	Wilcoxon	1.0
AllYes	AllRandom	-1	MAP_CTs	KS	4.11353352529823e-05
AllYes	AllRandom	-1	MAP_CTs	Wilcoxon	0.00390625
AllNo	AllRandom	-1	MAP_CTs	KS	4.11353352529823e-05
AllNo	AllRandom	-1	MAP_CTs	Wilcoxon	0.00390625
